State,Bond Description,Bond Number,Bond Type,Amount,Est Annual Premium,Effective,Renewal Date,Filing Method / Where,Status,Notes
OR,OR Escrow Agent Bond,0107110134S,Entity,375000,1875,2025-06-26,2026-06-26,Oregon Real Estate Agency (accepts DIGITAL bond per HUB); filed w/ escrow license,VERIFY FILED - renewal date passed,Switching Travelers -> Liberty Mutual (digital). Pairs w/ OR Escrow License Renewal 6/30. CONFIRM bound & filed.
IA,IA Title Agents Surety Bond,0106563763S,Entity,25000,125,2025-07-25,2026-07-25,Iowa licensing authority via HUB continuation,DUE NOW,Renewal 7/25/2026. HUB continuation - confirm issued.
ID,ID Title Agents Surety Bond,0105319156S,Entity,50000,250,2025-07-27,2026-07-27,Idaho Dept. of Finance (pairs w/ ID escrow license - Compliance Freedom),DUE NOW,Renewal 7/27/2026. HUB continuation - confirm issued.
TX,TX Escrow Officers Bond,0105319166S,Entity,10000,100,2025-07-27,2026-07-27,Texas Dept. of Insurance via HUB continuation,DUE NOW,Renewal 7/27/2026. HUB continuation - confirm issued.
FL,FL Title Agents Surety Bond,71338492,Entity,35000,350,2025-10-17,2026-10-17,FL Dept. of Financial Services; filed w/ title agency license,Upcoming,Renewal 10/17/2026.
OH,OH Title Bond,0108387631S,Entity,150000,750,2025-11-07,2026-11-07,Ohio Dept. of Insurance via HUB continuation,Upcoming,Renewal 11/07/2026.
TN,TN Title Bond (Alex Morgan),999453113,Individual,25000,100,2025-12-23,2026-12-23,TN Dept. of Commerce & Insurance - INDIVIDUAL producer bond,Upcoming,Individual bond - Alex Morgan.
NE,NE Title Agents Surety Bond,017035663,Entity,100000,350,2026-01-01,2027-01-01,Nebraska Dept. of Insurance via HUB continuation,Current,Renewed 1/1/2026.
DC,DC Title Agents Surety Bond,017150755,Entity,200000,700,2026-01-31,2027-01-31,DC DISB; filed w/ license,Current,Individual coverage under entity bond - VERIFY (see open items).
TX,TX Title Agents Surety Bond,017244729,Entity,100000,350,2026-03-17,2027-03-17,Texas Dept. of Insurance via HUB continuation,Current,Renewed 3/17/2026.
VA,VA Title Agents Surety Bond,999097004,Entity,200000,700,2026-03-17,2027-03-17,Virginia Bureau of Insurance (SCC); filed w/ license,Current,VA individual settlement-agent bond may also be required - VERIFY (see open items).
TN,TN Title Surety Bond (Natalie Hill),0108039625S,Individual,25000,125,2026-04-26,2027-04-26,TN Dept. of Commerce & Insurance - INDIVIDUAL bond,Current,Individual bond - Natalie Hill. Renewed 4/26/2026.
NM,NM Escrow Bond,0108047872S,Entity,100000,500,2026-05-09,2027-05-09,NM OSI; filed w/ escrow authority,Current,Renewed 5/9/2026.
KS,KS Title Agents Surety Bond,0105278435S,Entity,100000,500,2026-06-01,2027-06-01,Kansas Insurance Dept. via HUB continuation,Current,Renewed 6/1/2026.
MD,MD Title Agents Surety Bond,0105278437S,Entity,150000,450,2026-06-01,2027-06-01,Maryland Insurance Administration; filed w/ license,Current,MD has EXPLICIT individual-bond requirement - VERIFY individual coverage (see open items). Renewed 6/1/2026.
PA,PA Title Agents Surety Bond,0105278433S,Entity,100000,500,2026-06-01,2027-06-01,Pennsylvania Insurance Dept. via HUB continuation,Current,Renewed 6/1/2026.
TX,TX MIN CAP Surety Bond,017157969,Entity,150000,919,2025-07-01,2027-07-01,Texas Dept. of Insurance - minimum capital bond,Current,2-year term. Next renewal 7/1/2027.
