#,State,Entity,Filing / Report,Regulatory Body,Reporting Group,Category,Due Date,Frequency,VPT Applicability,Status,Owner,Notes
1,AZ,VPT,Annual Escrow Account Audit (DIFI),AZ Dept. of Insurance & Financial Institutions,Financial,Escrow/Trust Audit,Within 120 days of FYE (~Apr 30),Annual,Active - VPT files,AUDIT COMPLETE (Ed Hill FY2025) - confirm DIFI filing by extended deadline,Finance / Ed Hill,Dan's FINANCIAL example. Confirm w/ Cindy.
2,AZ,VPT,Corporation Annual Report,AZ Corporation Commission,Non-Financial,Corporate Annual Report,Anniversary of registration,Annual,Active - VPT files,COMPLETE - filed 6/10/2026 (Filing #06102601349192; Business ID F15325010),Dan / Finance,Dan's NON-financial example.
3,AZ,VPT,Statutory Agent Consent,AZ Corporation Commission,Non-Financial,Registered Agent,With registration / on change,As needed,Active - VPT files,On file (consent form),Dan,PNG in AZ vault folder.
4,CA,VPT CA,UTC Annual Statement (Form 203),CA Dept. of Insurance (CDI),Financial,Financial Statement,March 1,Annual,Active - VPT files,OPEN - tied to CA DOI 2025 Annual Audit inquiry (De La Vega U6329),Finance / GBA,Min $10K working capital (CIC 12389). OASIS access gap (Shelly->Dan). Bulletin 2025-5 enforcement.
5,CA,VPT CA,UTC Quarterly Statement (Form 203),CA Dept. of Insurance (CDI),Financial,Financial Statement,Apr 30 / Jul 30 / Oct 30,Quarterly,Active - VPT files,VERIFY Q2 (due Jul 30),Finance,Per CIC 12389.4.
6,CA,VPT CA,Schedule of CA Direct Premiums Written (Form 162),CA Dept. of Insurance (CDI),Financial,Statistical / Data Call,March 1,Annual,Active - VPT files,Filed with annual statement,Finance,
7,CA,VPT CA,Controlled Escrow Company Filing (Form 161),CA Dept. of Insurance (CDI),Financial,Financial Statement,March 1,Annual,Active - VPT files,Verify if operating as a CEC,Finance,
8,CA,VPT CA,UTC Annual Filing Fee (Form 206),CA Dept. of Insurance (CDI),Non-Financial,Filing Fee,March 1,Annual,Active - VPT files,Submitted with annual statement,Finance,Administrative fee.
9,CA,VPT CA,Rate Filing (Title Insurance),CA Dept. of Insurance (CDI),Non-Financial,Rate Filing,Before rates used (ongoing),Ongoing,Active - VPT files,Verify current filings,Finance,SERFF.
10,CA,VPT CA,Disclosure of Material Transactions (Form 26),CA Dept. of Insurance (CDI),Non-Financial,Disclosure Filing,Within 15 days of transaction,As needed,Active - VPT files,As needed,Finance,
11,FL,VPT,IA Closing Agent Financials,Title Underwriter / Issuing Agency,Financial,Financial Statement,March 30,Annual,Active - VPT files,Verify FY2025,Finance / CPA,Unaudited B/S & I/S. Materials to preparer by Mar 13.
12,FL,VPT,Florida Data Call (Title Agency Statistical Report),FL Office of Insurance Regulation,Financial,Statistical / Data Call,Annual (per underwriter),Annual,Active - VPT files,Verify,Finance,TitleAgencyReporting@floir.com. First American generates.
13,TX,VPT,Franchise Tax / Public Information Report,Texas Comptroller,Financial,State Tax Filing,May 15,Annual,Active - VPT files,Verify FY2025,Finance / Tax,Webfile #XT366238. No tax if revenue < $2.65M; still must file PIR.
14,TX,VPT,Annual Statistical Data Report (TDI Agent Data Call),Texas Dept. of Insurance,Financial,Statistical / Data Call,May 1,Annual,Active - VPT files,Verify,Finance,Per TIC 2703.153.
15,TX,VPT,Annual Trust Fund Audit,Texas Dept. of Insurance,Financial,Escrow/Trust Audit,Within 90 days of FYE (~Jul),Annual,Active - VPT files,Verify,Independent CPA,Audit of all trust fund accounts.
16,OR,VPT,Escrow Annual Report,Oregon Real Estate Agency,Non-Financial,Escrow Operational Report,March 31,Annual,Active - VPT files,VERIFY FILED (deadline passed 3/31),Finance / Ops,Login = entity license # / zip. (503) 378-4170.
17,OR,VPT,Financial Statements,Oregon Real Estate Agency,Financial,Financial Statement,May 31,Annual,Active - VPT files,COMPLETE - compilation delivered (Ed Hill 12/31/25),Finance / Ed Hill,PDF in Oregon vault folder.
18,OR,VPT,Escrow Agent License Renewal,Oregon Real Estate Agency,Non-Financial,License Renewal,June 30,Annual,Active - VPT files,VERIFY FILED (deadline passed 6/30),Dan / HR,Certify 6 hrs avg training/yr per FT employee (ORS 696.511). Bond pairs w/ license.
19,ID,VPT,Annual Escrow License Renewal,Idaho Dept. of Finance,Non-Financial,License Renewal,April 15,Annual,Active - VPT files,VERIFY FILED (deadline passed 4/15),Compliance Freedom / Finance,driffle@compliancefreedom.com.
20,ID,VPT,Escrow Rate Filing,Idaho Dept. of Insurance,Non-Financial,Rate Filing,March 15,Annual,Active - VPT files,Verify,Finance,
21,NM,VPT,Agent's Statistical Report (ASR),NM Office of Superintendent of Insurance,Financial,Statistical / Data Call,May 15,Annual,Active - VPT files,FILED / CURRENT (OSI confirmed received 6/11/2026),Finance + CPA,Docket 2026-0015. Excel + notarized affidavit to Title.Insurance@osi.nm.gov. NO extensions.
22,NM,VPT,Annual Escrow Compliance Procedures Report (AECPR),NM Office of Superintendent of Insurance,Financial,Escrow/Trust Audit,May 15,Annual,Active - VPT files,FILED 6/10/2026 (OSI confirmed 6/11) - penalty exposure open (see open items),Finance + CPA (Baker Tilly),Docket 2026-0016. Was late; cured 6/10. $1000/day penalty per order - mitigation letter drafted.
23,UT,VPT,Foreign Corporation Annual Renewal,Utah Division of Corporations,Non-Financial,Corporate Annual Renewal,Last day of registration anniversary month,Annual,Active - VPT files,CONFIRM anniversary date & registered agent,Dan / Finance,~$18 fee; $10 late. Must maintain UT registered agent w/ UT street address (Midvale office).
24,UT,VPT,Title Insurance Producer Annual Report,Utah Insurance Department,Financial,Annual Report,May 1,Annual,Active - VPT files,Verify,Finance,Utah Code 31A-23a-413 Rule R592-11. Financials + branch info.
